name,symbol
negative mode electrospray ionization,Y
positive mode electrospray ionization,ұ
mass spectrometry,╗
fourier transform infrared spectroscopy,
electrochemical cell,≡
light,~
ionization,.
desorption,/
MALDI,=̖̃
UV light,u
microwave light,m
infrared light,f
gamma ray,g
near (light),
mid (light),
far (light),
radioactive,☢
capillary electrophoresis,₠
gas chromatography,
liquid chromatography,
solid-phase extraction,
pointed-tip vial,V
round tip vial,U
absorption spectroscopy,
emission spectroscopy,
